Year,Country,Region,Crop_Type,Average_Temperature_C,Total_Precipitation_mm,CO2_Emissions_MT,Crop_Yield_MT_per_HA,Extreme_Weather_Events,Irrigation_Access_%,Pesticide_Use_KG_per_HA,Fertilizer_Use_KG_per_HA,Soil_Health_Index,Adaptation_Strategies,Economic_Impact_Million_USD,Producer_Price(USD/tonne)
2001,France,Ile-de-France,Wheat,21.11,1301.74,25.75,1.719,5,84.42,27.41,65.53,67.78,Water Management,796.96,709.0
2001,France,Ile-de-France,Wheat,21.11,1301.74,25.75,1.719,5,84.42,27.41,65.53,67.78,Water Management,796.96,108.1
2001,France,Ile-de-France,Wheat,21.11,1301.74,25.75,1.719,5,84.42,27.41,65.53,67.78,Water Management,796.96,96.7
2021,Australia,New South Wales,Rice,25.63,786.17,7.77,3.27,4,66.53,13.44,40.5,63.16,Drought-resistant Crops,1367.97,412.3
2021,Australia,New South Wales,Rice,25.63,786.17,7.77,3.27,4,66.53,13.44,40.5,63.16,Drought-resistant Crops,1367.97,412.3
2021,Australia,New South Wales,Rice,25.63,786.17,7.77,3.27,4,66.53,13.44,40.5,63.16,Drought-resistant Crops,1367.97,309.7
2003,USA,Northeast,Barley,14.7,2272.28,11.45,2.5,9,57.37,19.48,46.13,77.32,Drought-resistant Crops,1126.27,130.0
2003,USA,Northeast,Barley,14.7,2272.28,11.45,2.5,9,57.37,19.48,46.13,77.32,Drought-resistant Crops,1126.27,130.0
2003,USA,Northeast,Barley,14.7,2272.28,11.45,2.5,9,57.37,19.48,46.13,77.32,Drought-resistant Crops,1126.27,130.0
2018,Brazil,North,Barley,20.83,2639.04,6.01,3.64,10,52.71,28.15,61.34,88.14,Drought-resistant Crops,521.59,769.1
2018,Brazil,North,Barley,20.83,2639.04,6.01,3.64,10,52.71,28.15,61.34,88.14,Drought-resistant Crops,521.59,769.1
2018,Brazil,North,Barley,20.83,2639.04,6.01,3.64,10,52.71,28.15,61.34,88.14,Drought-resistant Crops,521.59,210.5
1997,Brazil,Northeast,Rice,17.45,1634.32,29.55,2.754,5,29.84,48.57,3.21,30.18,No Adaptation,1323.81,230.0
1997,Brazil,Northeast,Rice,17.45,1634.32,29.55,2.754,5,29.84,48.57,3.21,30.18,No Adaptation,1323.81,230.0
1997,Brazil,Northeast,Rice,17.45,1634.32,29.55,2.754,5,29.84,48.57,3.21,30.18,No Adaptation,1323.81,213.4
2000,Australia,New South Wales,Rice,30.08,1641.99,15.83,3.096,2,94.75,13.7,42.84,73.56,Organic Farming,345.85,267.0
2000,Australia,New South Wales,Rice,30.08,1641.99,15.83,3.096,2,94.75,13.7,42.84,73.56,Organic Farming,345.85,267.0
2000,Australia,New South Wales,Rice,30.08,1641.99,15.83,3.096,2,94.75,13.7,42.84,73.56,Organic Farming,345.85,154.8
1997,Australia,Victoria,Wheat,31.67,2364.58,13.16,3.33,4,72.38,48.77,12.25,94.46,Drought-resistant Crops,1244.49,212.0
1997,Australia,Victoria,Wheat,31.67,2364.58,13.16,3.33,4,72.38,48.77,12.25,94.46,Drought-resistant Crops,1244.49,212.0
1997,Australia,Victoria,Wheat,31.67,2364.58,13.16,3.33,4,72.38,48.77,12.25,94.46,Drought-resistant Crops,1244.49,157.3
2004,China,East,Rice,-0.5,2892.43,18.33,1.593,7,34.21,13.13,81.9,77.07,Drought-resistant Crops,776.0,2600.0
2004,China,East,Rice,-0.5,2892.43,18.33,1.593,7,34.21,13.13,81.9,77.07,Drought-resistant Crops,776.0,2600.0
2004,China,East,Rice,-0.5,2892.43,18.33,1.593,7,34.21,13.13,81.9,77.07,Drought-resistant Crops,776.0,314.1
1998,Brazil,South,Rice,28.86,1970.45,13.89,1.93,2,41.49,16.31,94.79,55.36,Drought-resistant Crops,763.3,288.0
1998,Brazil,South,Rice,28.86,1970.45,13.89,1.93,2,41.49,16.31,94.79,55.36,Drought-resistant Crops,763.3,288.0
1998,Brazil,South,Rice,28.86,1970.45,13.89,1.93,2,41.49,16.31,94.79,55.36,Drought-resistant Crops,763.3,248.2
1999,Australia,Victoria,Barley,1.33,305.9,15.74,1.566,3,17.42,10.26,47.41,50.39,No Adaptation,505.46,140.0
1999,Australia,Victoria,Barley,1.33,305.9,15.74,1.566,3,17.42,10.26,47.41,50.39,No Adaptation,505.46,140.0
1999,Australia,Victoria,Barley,1.33,305.9,15.74,1.566,3,17.42,10.26,47.41,50.39,No Adaptation,505.46,90.3
1991,China,East,Wheat,11.6,2439.05,9.86,4.79,6,27.81,38.14,54.45,94.62,Water Management,916.03,614.0
1991,China,East,Wheat,11.6,2439.05,9.86,4.79,6,27.81,38.14,54.45,94.62,Water Management,916.03,614.0
1991,China,East,Wheat,11.6,2439.05,9.86,4.79,6,27.81,38.14,54.45,94.62,Water Management,916.03,115.3
1996,Nigeria,South East,Wheat,23.0,1189.48,18.68,2.6910000000000003,9,11.15,39.42,77.79,88.18,Drought-resistant Crops,1201.22,30520.0
1996,Nigeria,South East,Wheat,23.0,1189.48,18.68,2.6910000000000003,9,11.15,39.42,77.79,88.18,Drought-resistant Crops,1201.22,30520.0
1996,Nigeria,South East,Wheat,23.0,1189.48,18.68,2.6910000000000003,9,11.15,39.42,77.79,88.18,Drought-resistant Crops,1201.22,400.1
2014,Russia,Central,Rice,29.17,1405.59,8.17,1.81,6,32.18,43.7,32.04,75.47,No Adaptation,657.55,12770.0
2014,Russia,Central,Rice,29.17,1405.59,8.17,1.81,6,32.18,43.7,32.04,75.47,No Adaptation,657.55,10438.0
2014,Russia,Central,Rice,29.17,1405.59,8.17,1.81,6,32.18,43.7,32.04,75.47,No Adaptation,657.55,12550.0
2014,Russia,Central,Rice,29.17,1405.59,8.17,1.81,6,32.18,43.7,32.04,75.47,No Adaptation,657.55,12553.0
2014,Russia,Central,Rice,29.17,1405.59,8.17,1.81,6,32.18,43.7,32.04,75.47,No Adaptation,657.55,14806.0
2014,Russia,Central,Rice,29.17,1405.59,8.17,1.81,6,32.18,43.7,32.04,75.47,No Adaptation,657.55,15432.0
2014,Russia,Central,Rice,29.17,1405.59,8.17,1.81,6,32.18,43.7,32.04,75.47,No Adaptation,657.55,15263.0
2014,Russia,Central,Rice,29.17,1405.59,8.17,1.81,6,32.18,43.7,32.04,75.47,No Adaptation,657.55,15286.0
2014,Russia,Central,Rice,29.17,1405.59,8.17,1.81,6,32.18,43.7,32.04,75.47,No Adaptation,657.55,14973.0
2014,Russia,Central,Rice,29.17,1405.59,8.17,1.81,6,32.18,43.7,32.04,75.47,No Adaptation,657.55,13885.0
2014,Russia,Central,Rice,29.17,1405.59,8.17,1.81,6,32.18,43.7,32.04,75.47,No Adaptation,657.55,12206.0
